halId_s,version_i,uri_s,docType_s,nntId_s,title_s,authFullName_s,producedDate_s,domain_s,page_s,country_s,language_s,licence_s
hal-00701901,1,https://hal.archives-ouvertes.fr/hal-00701901,ART,,An evaluation of the Irish Single Reactor Breakdown Protocol for 2005 to 2008 inclusive and its potential application as a monitor of tuberculin test performance,"M. Good,A. Duignan",2011-05-28,"0.sdv,1.sdv.ba,2.sdv.ba.mvsa",85,,en,
hal-00903138,1,https://hal.archives-ouvertes.fr/hal-00903138,ART,,A quantitative risk assessment model to evaluate effective border control measures for rabies prevention,"Hsin-Yi Weng,Pei-I Wu,Ping-Cheng Yang,Yi-Lun Tsai,Chao-Chin Chang",2010,"0.sdv,1.sdv.bbm,2.sdv.bbm.bm,0.sdv,1.sdv.gen,2.sdv.gen.ga,0.sdv,1.sdv.bc,0.sdv,1.sdv.bc,2.sdv.bc.ic,0.sdv,1.sdv.mp,0.sdv,1.sdv.imm,0.sdv,1.sdv.neu,0.sdv,1.sdv.spee,0.sdv,1.sdv.ba",,,en,
hal-00903000,1,https://hal.archives-ouvertes.fr/hal-00903000,ART,,A modeling study on the sustainability of a certification-and-monitoring program for paratuberculosis in cattle,"Pauline Ezanno,Gerdien Van Schaik,Maarten Weber,Johan Heesterbeek",2005,"0.sdv,1.sdv.bbm,2.sdv.bbm.bm,0.sdv,1.sdv.gen,2.sdv.gen.ga,0.sdv,1.sdv.bc,0.sdv,1.sdv.bc,2.sdv.bc.ic,0.sdv,1.sdv.mp,0.sdv,1.sdv.imm,0.sdv,1.sdv.neu,0.sdv,1.sdv.spee,0.sdv,1.sdv.ba",811-826,,en,
hal-00904060,1,https://hal.archives-ouvertes.fr/hal-00904060,ART,,Relationship between sperm whale (Physeter macrocephalus) click structure and size derived from videocamera images of a depredating whale (sperm whale prey acquisition),"Delphine Mathias,Aaron Thode,Jan Straley,Kendall Folkert",2009-06,"0.sdv,1.sdv.ee",3444-3453,,en,
hal-01512139,1,https://hal.archives-ouvertes.fr/hal-01512139,ART,,Effect of a long chain n-3 PUFA-enriched diet on production and reproduction variables in Holstein dairy cows,"Sébastien Elis,Sandrine Freret,Alice Desmarchais,Virginie Maillard,Juliette Cognie,Eric Briant,Jean-Luc Touze,Mickaël Dupont,Philippe Faverdin,Véronique Chajès,Svetlana Uzbekova,Philippe Monget,Joëlle Dupont",2016,"0.sdv,1.sdv.ot",121-132,,en,
halshs-00560803,1,https://halshs.archives-ouvertes.fr/halshs-00560803,ART,,Les controverses contemporaines sur le statut de l'animal,Eric Baratay,1993,"0.shs,1.shs.anthro-se,0.shs,1.shs.hist",499-514,,fr,
halshs-00347471,2,https://halshs.archives-ouvertes.fr/halshs-00347471v2,ART,,Du cynégétique à l'abominable,Maria Couroucli,2005-10-01,"0.shs,1.shs.anthro-se",227-252,,fr,
hal-00498459,1,https://hal.archives-ouvertes.fr/hal-00498459,ART,,"Soil animal communities in holm oak forests: influence of horizon\, altitude and year","Nassima Sadaka,Jean-François Ponge",2003-12,"0.sdv,1.sdv.sa,2.sdv.sa.sds",197-207,,en,
pasteur-00857262,1,https://hal-riip.archives-ouvertes.fr/pasteur-00857262,ART,,Occurrence of Plasmid-Mediated Quinolone Resistance Determinants and rmtB Gene in Salmonella enterica Serovar Enteritidis and Typhimurium Isolated from Food-Animal Products in Tunisia.,"Nazek Al-Gallas,Mohamed Salah Abbassi,Becher Gharbi,Molka Manai,Mohamed N Ben Fayala,Raghda Bichihi,Amna Al-Gallas,Ridha Ben Aissa",2013-09,0.sdv,813-9,,en,
hal-00606303,1,https://hal.archives-ouvertes.fr/hal-00606303,ART,,Emergency cricothyrotomy in infants - evaluation of a novel device in an animal model,"Thomas Metterlein,Matthias Frommer,Pingling Kwok,Stefan Lyer,Bernhard Graf,Barbara Sinner",2011-01-06,,104,,en,
anses-01418411,1,https://hal-anses.archives-ouvertes.fr/anses-01418411,ART,,The Risk of Some Veterinary Antimicrobial Agents on Public Health Associated with Antimicrobial Resistance and their Molecular Basis,"Haihong Hao,Pascal Sanders,Zahid Iqbal,Yuliang Wang,Guyue Cheng,Zonghui Yuan",2016,"0.sdv,1.sdv.ba,2.sdv.ba.mvsa",1626 - 1637,,en,
halshs-00554860,1,https://halshs.archives-ouvertes.fr/halshs-00554860,ART,,Le Christ est-il mort pour les bêtes ?,Eric Baratay,1998,"0.shs,1.shs.anthro-se,0.shs,1.shs.hist",27-48,,fr,
hal-00687801,1,https://hal.archives-ouvertes.fr/hal-00687801,ART,,Morphometric evaluation of 'dysbacteriosis' in broilers,"Emma Teirlynck,Maarten De Gussem,Jeroen Dewulf,Freddy Haesebrouck,Richard Ducatelle,Filip Van Immerseel",2011-04-15,"0.sdv,1.sdv.ba",139-144,,en,
halshs-01464531,1,https://halshs.archives-ouvertes.fr/halshs-01464531,ART,,Complexity in animal behaviour: towards common ground,"Hélène Cochet,Richard Byrne",2015,"0.shs,1.shs.psy",237 - 241,,en,
hal-00886019,1,https://hal.archives-ouvertes.fr/hal-00886019,ART,,Long-term impacts of extensification of grassland management on biodiversity and productivity in upland areas. A review,"Carol Marriott,Michael Fothergill,Bernard Jeangros,Michele Scotton,Frédérique Louault",2004,"0.sdv,1.sdv.sa,0.sdv,1.sdv.ee",447-462,,en,
hal-00616901,1,https://hal.archives-ouvertes.fr/hal-00616901,ART,,Murine Models of Human Neuropathic Pain,"Mariapia Colleoni,Paola Sacerdote",2010-08-25,,924,,en,
pastel-00625801,1,https://pastel.archives-ouvertes.fr/pastel-00625801,THESE,2009AGPT0050,"Modélisation systémique des performances des femelles de ruminants. Application au cas de la vache laitière.,Systemic modelling of ruminant female performance. Application to dairy cows.",Olivier Martin,2009-09-30,"0.sdv,1.sdv.aen,0.sdv,1.sdv.bbm",,,fr,
tel-00707724,1,https://tel.archives-ouvertes.fr/tel-00707724,THESE,2010LYO10030,"C. elegans\, un outil de criblage pour la recherche de traitements contre les maladies rares,Caenorhabditis elegans as chemical screening tool to find compounds and targets against neuromuscular diseases",Jean Giacomotto,2010-03-08,"0.sdv,1.sdv.sa",,,fr,
halshs-01585375,1,https://halshs.archives-ouvertes.fr/halshs-01585375,ART,,Harpocrate au chien et les cadavres de Qasr ʿAllam. Perspectives sur le statut rituel des inhumations animales dans l’Égypte ancienne,"Frédéric Colin,Frédéric Adam,Ivana Pranjic",2014,"0.shs,0.shs,1.shs.hist",32-63,,fr,
hal-00886523,1,https://hal.archives-ouvertes.fr/hal-00886523,ART,,Climate change in Europe. 1. Impact on terrestrial ecosystems and biodiversity. A review,"Jane Feehan,Mike Harley,Jell Van Minnen",2009,"0.sdv,1.sdv.sa,0.sdv,1.sdv.ee",,,en,
hal-00889938,1,https://hal.archives-ouvertes.fr/hal-00889938,ART,,A discrete events simulation of flock dynamics: a management application to three lambings in two years,"Sylvie Cournut,Benoît Dedieu",2004,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",383-403,,en,
hal-01052723,1,https://hal.archives-ouvertes.fr/hal-01052723,ART,,Birth origin differentially affects depressive-like behaviours: are captive-born cynomolgus monkeys more vulnerable to depression than their wild-born counterparts?,"Sandrine Camus,Céline Rochais,Catherine Blois-Heulin,Qin Li,Martine Hausberger,Erwan Bezard",2013-07-04,"0.scco,1.scco.neur",e67711,,en,
hal-00890040,1,https://hal.archives-ouvertes.fr/hal-00890040,ART,,In vitro assessment of gastrointestinal tract (GIT) fermentation in pigs: Fermentable substrates and microbial activity,"Barbara A. Williams,Marlou W. Bosch,Ajay Awati,Sergey R. Konstantinov,Hauke Smidt,Antoon D.L. Akkermans,Martin W.A. Verstegen,Seerp Tamminga",2005,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",191-201,,en,
tel-01256782,1,https://tel.archives-ouvertes.fr/tel-01256782,THESE,2014STRAJ123,"Preclinical evaluation of innovative therapies for hepatocellular carcinoma and chronic infection with hepatitis C virus,Evaluation préclinique de thérapies innovantes pour le carcinome hépatocellulaire et l'infection chronique par le virus de l'hépatite C",Tao Wu,2014-10-09,"0.sdv,1.sdv.imm,2.sdv.imm.imm,0.sdv,1.sdv.can,0.sdv,1.sdv.mhep,2.sdv.mhep.heg",,,en,
hal-00721593,1,https://hal-univ-tlse2.archives-ouvertes.fr/hal-00721593,ART,,"Oscar\, Derrida's Cat\, and Other Knowing Animals","Wendy Harding,Jacky Martin",2011,"0.shs,1.shs.litt",http://transatlantica.revues.org/5627,,en,
tel-00933537,1,https://tel.archives-ouvertes.fr/tel-00933537,THESE,2012LYO10183,"Atrial fibrillation : insights concerning the arrhythmogenic substrate,La fibrillation atriale : Aperçus concernant le substrat arythmogène",Alina Scridon,2012-10-26,"0.sdv,1.sdv.mhep",,,en,
tel-01610106,1,https://tel.archives-ouvertes.fr/tel-01610106,THESE,2017MON30006,"Humains\, bovins et prairies naturelles : une histoire commune de réciprocité et d'échange marchand,Humans\, cattle and natural grasslands : a common history of reciprocity and market exchange",Maria De Torres Alvarez,2017-05-29,"0.shs,1.shs.socio",,,fr,
halshs-00089601,1,https://halshs.archives-ouvertes.fr/halshs-00089601,ART,,Pourquoi la Bible des Septante a-t-elle traduit le zemer du Deutéronome en kamelopardalis ? Réflexions sur le statut symbolique et alimentaire de la girafe,Thierry Buquet,2006,"0.shs,1.shs.hist,0.shs,1.shs.relig",7-25,,fr,
hal-00577512,1,https://hal.archives-ouvertes.fr/hal-00577512,ART,,Carry over of the Fusarium toxins deoxynivalenol (DON) and zearalenone (ZON) from naturally contaminated wheat to the pig,"Tanja Goyarts,Sven Dänicke,Hana Valenta,Karl-Heinz Ueberschär",2007-03-30,,369-380,,en,
hal-00889895,1,https://hal.archives-ouvertes.fr/hal-00889895,ART,,Genetically modified organisms: consequences for ruminant health and nutrition,"Evelyne Forano,Harry Flint",2000,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",255-271,,en,
tel-01241878,1,https://tel.archives-ouvertes.fr/tel-01241878,THESE,2013PA010678,"L'homme\, le plus politique des animaux : essai sur les ""Politiques"" d'Aristote\, livre I\, chapitre 2.,Human being\, the most political of the animals : a study of Aristotle' s ""Poltics""\, book I\, chapter 2",Refik Guremen,2013-12-18,"0.shs,1.shs.phil",,,fr,
hal-00585473,1,https://hal.archives-ouvertes.fr/hal-00585473,ART,,"Modelling BSE trend over time in Europe\, a risk assessment perspective","Christian Ducrot,Carole Sala,Giuseppe Ru,Aline Koeijer,Hazel Sheridan,Claude Saegerman,Thomas Selhorst,Mark Arnold,Miroslaw P. Polak,Didier Calavas",2010-04-13,,411-419,,en,
hal-01484835,1,https://hal.archives-ouvertes.fr/hal-01484835,ART,,Estimation of breeding values for uniformity of growth in Atlantic salmon (Salmo salar) using pedigree relationships or single-step genomic evaluation,"Panya Sae-Lim,Antti Kause,Marie Lillehammer,Han A. Mulder",2017-12,0.sdv,33,,en,
hal-00893472,1,https://hal.archives-ouvertes.fr/hal-00893472,ART,,Conservation of animal genetic resources. Reviewing the problem,D.L. Simon,1982,"0.sdv,1.sdv.gen,2.sdv.gen.ga",557-558,,fr,
hal-00893668,1,https://hal.archives-ouvertes.fr/hal-00893668,ART,,Computing genetic evaluations through application of generalized least squares to an animal model,G.F.S. Hudson,1986,"0.sdv,1.sdv.gen,2.sdv.gen.ga",31-40,,fr,
hal-00893328,1,https://hal.archives-ouvertes.fr/hal-00893328,ART,,EXPERIENCE WITH COMPUTER SIMULATION OF A DAIRY POPULATION IN TEACHING ANIMAL BREEDING,H. Schulte-Coerne,1980,"0.sdv,1.sdv.gen,2.sdv.gen.ga",428-428,,fr,
hal-00893298,1,https://hal.archives-ouvertes.fr/hal-00893298,ART,,SYSTEMS ANALYSIS APPROACH TO ORGANIZATION OF ANIMAL BREEDING,H. Momm,1980,"0.sdv,1.sdv.gen,2.sdv.gen.ga",418-418,,fr,
hal-00892409,1,https://hal.archives-ouvertes.fr/hal-00892409,ART,,NEED AND METHODS OF GENE CONSERVATION IN ANIMAL BREEDING (*),K. Maijala,1970,"0.sdv,1.sdv.gen,2.sdv.gen.ga",403-415,,fr,
hal-00892848,1,https://hal.archives-ouvertes.fr/hal-00892848,ART,,TEACHING OF ANIMAL BREEDING AND GENETICS AT UNIVERSITY-LEVEL SCHOOLS IN SOME SOCIALIST COUNTRIES,Z. Stalinski,1977,"0.sdv,1.sdv.gen,2.sdv.gen.ga",132-132,,fr,
hal-00892849,1,https://hal.archives-ouvertes.fr/hal-00892849,ART,,TEACHING ANIMAL BREEDING IN THE UNITED STATES,A. E. Freeman,1977,"0.sdv,1.sdv.gen,2.sdv.gen.ga",132-132,,fr,
hal-00892850,1,https://hal.archives-ouvertes.fr/hal-00892850,ART,,TEACHING ANIMAL GENETICS IN BLOCKED COURSES,"D. Fewson,K. Riemenschneider",1977,"0.sdv,1.sdv.gen,2.sdv.gen.ga",132-133,,fr,
hal-00893201,1,https://hal.archives-ouvertes.fr/hal-00893201,ART,,SIMULATION PROGRAMMES FOR TEACHING ANIMAL BREEDING,"P. M. Hocking,J. C. Bowman",1980,"0.sdv,1.sdv.gen,2.sdv.gen.ga",134-134,,fr,
hal-00893476,1,https://hal.archives-ouvertes.fr/hal-00893476,ART,,Organizational and psychological aspects of the conservation of animal genetic resources. Italian experiences,"G. Rognoni,A. Finci",1982,"0.sdv,1.sdv.gen,2.sdv.gen.ga",559-559,,fr,
hal-00893497,1,https://hal.archives-ouvertes.fr/hal-00893497,ART,,Application of multiple trait analysis in animal breeding research,I.L. Mao,1982,"0.sdv,1.sdv.gen,2.sdv.gen.ga",567-567,,fr,
hal-00900870,1,https://hal.archives-ouvertes.fr/hal-00900870,ART,,IN VITRO SUSCEPTIBILITY AND RESISTANCE OF ANIMAL STAPHYLOCOCCI TO MACROLIDE ANTIBIOTICS AND RELATED COMPOUNDS,L.A. Devriese,1976,"0.sdv,1.sdv.bbm,2.sdv.bbm.bm,0.sdv,1.sdv.gen,2.sdv.gen.ga,0.sdv,1.sdv.bc,0.sdv,1.sdv.bc,2.sdv.bc.ic,0.sdv,1.sdv.mp,0.sdv,1.sdv.imm,0.sdv,1.sdv.neu,0.sdv,1.sdv.spee,0.sdv,1.sdv.ba",65-74,,fr,
hal-00901435,1,https://hal.archives-ouvertes.fr/hal-00901435,ART,,IMPLANTATION AND DEVELOPMENT OF THE GUT FLORA IN THE NEWBORN ANIMAL,R. Ducluzeau,1983,"0.sdv,1.sdv.bbm,2.sdv.bbm.bm,0.sdv,1.sdv.gen,2.sdv.gen.ga,0.sdv,1.sdv.bc,0.sdv,1.sdv.bc,2.sdv.bc.ic,0.sdv,1.sdv.mp,0.sdv,1.sdv.imm,0.sdv,1.sdv.neu,0.sdv,1.sdv.spee,0.sdv,1.sdv.ba",354-359,,fr,
hal-00900873,1,https://hal.archives-ouvertes.fr/hal-00900873,ART,,IN VITRO TRANSFORMATION OF OCHRATOXIN A BY ANIMAL MICROBIAL FLORAS,"P. Galtier,M. Alvinerie",1976,"0.sdv,1.sdv.bbm,2.sdv.bbm.bm,0.sdv,1.sdv.gen,2.sdv.gen.ga,0.sdv,1.sdv.bc,0.sdv,1.sdv.bc,2.sdv.bc.ic,0.sdv,1.sdv.mp,0.sdv,1.sdv.imm,0.sdv,1.sdv.neu,0.sdv,1.sdv.spee,0.sdv,1.sdv.ba",91-98,,fr,
hal-00901630,1,https://hal.archives-ouvertes.fr/hal-00901630,ART,,The significance of interindividual variations or the average animal does not exist,Wiepkema P.R.,1986,"0.sdv,1.sdv.bbm,2.sdv.bbm.bm,0.sdv,1.sdv.gen,2.sdv.gen.ga,0.sdv,1.sdv.bc,0.sdv,1.sdv.bc,2.sdv.bc.ic,0.sdv,1.sdv.mp,0.sdv,1.sdv.imm,0.sdv,1.sdv.neu,0.sdv,1.sdv.spee,0.sdv,1.sdv.ba",103-103,,fr,
hal-00887884,1,https://hal.archives-ouvertes.fr/hal-00887884,ART,,European animal feed: a growing dependence of the world market,"D. Daridan,Y. Dronne",1979,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",346-346,,fr,
hal-00897951,1,https://hal.archives-ouvertes.fr/hal-00897951,ART,,The polymorphism of acetylcholinesterase in different animal species and motor innervation,"F. Bacou,Marylène Rostagno",1982,"0.sdv,1.sdv.bdlr,0.sdv,1.sdv.aen,0.sdv,1.sdv.bdd",227-233,,fr,
hal-00897824,1,https://hal.archives-ouvertes.fr/hal-00897824,ART,,Digestive enzymes in the germ-free animal,"T. Corring,Catherine Juste,C. Simoes-Nunes",1981,"0.sdv,1.sdv.bdlr,0.sdv,1.sdv.aen,0.sdv,1.sdv.bdd",355-370,,fr,
hal-00890074,1,https://hal.archives-ouvertes.fr/hal-00890074,ART,,Risk factors of lamb mortality in Pakistan,"Ahrar Khan,Muhammad Ashraf Sultan,Muhammad Ajmal Jalvi,Iftikhar Hussain",2006,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",301-311,,en,
hal-00890093,1,https://hal.archives-ouvertes.fr/hal-00890093,ART,,The uncertainty of results when estimating daily milk records,"Marjeta Čandek-Potokar,Maja Prevolnik,Drago Babnik,Tomaž Perpar",2006,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",521-532,,en,
hal-00893291,1,https://hal.archives-ouvertes.fr/hal-00893291,ART,,EFFECTS OF MAJOR GENES ON ANIMAL BREEDING STRATEGIES,"C. Smith,A. J. Webb",1980,"0.sdv,1.sdv.gen,2.sdv.gen.ga",415-416,,fr,
medihal-01140793,1,https://medihal.archives-ouvertes.fr/medihal-01140793,IMG,,Le cheval,Pascale Delpech,2014-07-18,"0.shs,1.shs.anthro-se",,cn,und,http://creativecommons.org/licenses/by-nc-nd/
hal-00895010,1,https://hal.archives-ouvertes.fr/hal-00895010,ART,,DU CHOIX D'UN ANIMAL RÉACTIF POUR L'ÉTUDE DE L'ÉQUILIBRE NUTRITIF DES LAITS,"Mme L. Randoin,M. R. Lecoq",1931,"0.sdv,1.sdv.aen,0.sdv,1.sdv.ida",133-143,,fr,
hal-00895921,1,https://hal.archives-ouvertes.fr/hal-00895921,ART,,Le comportement de l'animal domestique et les techniques modernes d'élevage,J.P. Signoret,1991,"0.sdv,1.sdv.sa,2.sdv.sa.spa",13-20,,fr,
hal-00897724,1,https://hal.archives-ouvertes.fr/hal-00897724,ART,,Dualité de l'activité myoélectrique du côlon chez l'animal,"J. Fioramonti,L. Bueno,Y. Ruckebusch",1980,"0.sdv,1.sdv.bdlr,0.sdv,1.sdv.aen,0.sdv,1.sdv.bdd",1203-1208,,fr,
hal-00887612,1,https://hal.archives-ouvertes.fr/hal-00887612,ART,,"Nutritive value of animal by-products (keratin\, gelatin) for growing-finishing pigs","A. RÉrat,D. Bourdon",1976,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",431-432,,fr,
hal-00889196,1,https://hal.archives-ouvertes.fr/hal-00889196,ART,,NIRS/NUTBAL nutritional profiling system for grazingland animal management,"J Stuth,R Lyons",1995,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",32-32,,fr,
hal-00888626,1,https://hal.archives-ouvertes.fr/hal-00888626,ART,,"Animal feed industry: Supply conditions\, comparison between Brittany and the Netherlands","J. David,H. Marouby,J. Saulnier",1988,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",186-186,,fr,
hal-00888852,1,https://hal.archives-ouvertes.fr/hal-00888852,ART,,Tests de fertilité chez l'animal domestique par fécondation in vitro,"B Marquant-Le Guienne,P Humblot",1992,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",361-370,,fr,
hal-00888701,1,https://hal.archives-ouvertes.fr/hal-00888701,ART,,Caractérisation de la population Trotteur Français d'après leur estimation génétique par un BLUP modèle animal,A. Tavernier,1989,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",145-155,,fr,
hal-00889431,1,https://hal.archives-ouvertes.fr/hal-00889431,ART,,Adaptation of whole animal energy metabolism to undernutrition in ewes,"I Ortigues,M Vermorel",1995,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",272-272,,fr,
hal-00888535,1,https://hal.archives-ouvertes.fr/hal-00888535,ART,,Effect of beta-adrenergic agonists in animal production and their mode of action,L.O. Fiems,1987,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",271-290,,fr,
hal-00889617,1,https://hal.archives-ouvertes.fr/hal-00889617,ART,,Growth functions and their application in animal science,"J France,J Dijkstra,Ms Dhanoa",1996,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",165-174,,fr,
hal-00898670,1,https://hal.archives-ouvertes.fr/hal-00898670,ART,,Biotechnology in the potential practical application of somatotrophic hormones for improving animal performance,G. S. G. Spencer,1987,"0.sdv,1.sdv.bdlr,0.sdv,1.sdv.aen,0.sdv,1.sdv.bdd",581-589,,fr,
hal-00902189,1,https://hal.archives-ouvertes.fr/hal-00902189,ART,,A framework for animal health management,"H Seegers,C Fourichon,X Malher,M L'Hostis",1994,"0.sdv,1.sdv.bbm,2.sdv.bbm.bm,0.sdv,1.sdv.gen,2.sdv.gen.ga,0.sdv,1.sdv.bc,0.sdv,1.sdv.bc,2.sdv.bc.ic,0.sdv,1.sdv.mp,0.sdv,1.sdv.imm,0.sdv,1.sdv.neu,0.sdv,1.sdv.spee,0.sdv,1.sdv.ba",165-173,,fr,
hal-00902554,1,https://hal.archives-ouvertes.fr/hal-00902554,ART,,Technical and economic evaluation method for use in improving infectious animal disease surveillance networks,Barbara Dufour,1999,"0.sdv,1.sdv.bbm,2.sdv.bbm.bm,0.sdv,1.sdv.gen,2.sdv.gen.ga,0.sdv,1.sdv.bc,0.sdv,1.sdv.bc,2.sdv.bc.ic,0.sdv,1.sdv.mp,0.sdv,1.sdv.imm,0.sdv,1.sdv.neu,0.sdv,1.sdv.spee,0.sdv,1.sdv.ba",27-37,,fr,
hal-00893833,1,https://hal.archives-ouvertes.fr/hal-00893833,ART,,Estimating genetic parameters using an animal model with imaginary effects,"R Thompson,K Meyer",1990,"0.sdv,1.sdv.gen,2.sdv.gen.ga",133-147,,fr,
hal-00894128,1,https://hal.archives-ouvertes.fr/hal-00894128,ART,,The use of marker haplotypes in animal breeding schemes,"The Meuwissen,Me Goddard",1996,"0.sdv,1.sdv.gen,2.sdv.gen.ga",161-176,,fr,
hal-00893952,1,https://hal.archives-ouvertes.fr/hal-00893952,ART,,Solving animal model equations through an approximate incomplete Cholesky decomposition,V Ducrocq,1992,"0.sdv,1.sdv.gen,2.sdv.gen.ga",193-209,,fr,
hal-00894258,1,https://hal.archives-ouvertes.fr/hal-00894258,ART,,On the use of animal models in the analysis of selection experiments 1,Louis Ollivier,1999,"0.sdv,1.sdv.gen,2.sdv.gen.ga",135-148,,fr,
hal-00894119,1,https://hal.archives-ouvertes.fr/hal-00894119,ART,,Restricted maximum likelihood estimation for animal models using derivatives of the likelihood,"K Meyer,Sp Smith",1996,"0.sdv,1.sdv.gen,2.sdv.gen.ga",23-49,,fr,
hal-00893816,1,https://hal.archives-ouvertes.fr/hal-00893816,ART,,Use of sparse matrix absorption in animal breeding,"B. Tier,S.P. Smith",1989,"0.sdv,1.sdv.gen,2.sdv.gen.ga",457-466,,fr,
hal-00893865,1,https://hal.archives-ouvertes.fr/hal-00893865,ART,,Estimating variances and covariances for multivariate animal models by restricted maximum likelihood,K Meyer,1991,"0.sdv,1.sdv.gen,2.sdv.gen.ga",67-83,,fr,
hal-00899768,1,https://hal.archives-ouvertes.fr/hal-00899768,ART,,Physiologie de l'absorption intestinale du phosphore chez l'animal,"Jp Barlet,Mj Davicco,Veronique Coxam",1995,"0.sdv,1.sdv.bdlr,0.sdv,1.sdv.aen,0.sdv,1.sdv.bdd",475-489,,fr,
hal-00885376,1,https://hal.archives-ouvertes.fr/hal-00885376,ART,,Faune du sol et microflore. I. Modèle animal et paradoxe fonctionnel,M Pussard,1991,"0.sdv,1.sdv.sa,0.sdv,1.sdv.ee",315-324,,fr,
hal-00893877,1,https://hal.archives-ouvertes.fr/hal-00893877,ART,,Reduced animal model for marker assisted selection using best linear unbiased prediction,"Rjc Cantet,C Smith",1991,"0.sdv,1.sdv.gen,2.sdv.gen.ga",221-233,,fr,
hal-00893897,1,https://hal.archives-ouvertes.fr/hal-00893897,ART,,From Giessen to Toulouse: 20 years in domestic animal cytogenetics,I Gustavsson,1991,"0.sdv,1.sdv.gen,2.sdv.gen.ga",9s-17s,,fr,
pastel-00004380,1,https://pastel.archives-ouvertes.fr/pastel-00004380,THESE,2008AGPT0008,"Multicriterion evaluation of animal welfare : example of on-farm dairy cows,Évaluation multicritère du bien-être animal : exemple des vaches laitières en ferme",Raphaëlle Botreau,2008-02-12,0.sdv,,,en,
tel-00294982,1,https://pastel.archives-ouvertes.fr/tel-00294982,THESE,,"Nanoparticules à luminescence persistante pour l'imagerie optique in vivo,Persistent luminescence nanoparticles for in vivo optical imaging",Quentin Le Masne de Chermont,2007-12-13,"0.chim,1.chim.mate",,,fr,
hal-01566306,1,https://hal.archives-ouvertes.fr/hal-01566306,ART,,"Compte-rendu du second congrès intitulé ""Qualité durable de la viande bovine en Europe","Jean-François Hocquette,Linda Farmer,Kurt Straif,Stefaan De Smet,Vincenzo Russo,Rainer Roehe,Aidan Moloney,David Farrell,Rod Polkinghorne,Jerzy Wierzbicki,Tim Searchinger,Dequan Zhang,Ettore Capri,Paolo Ferrari,Jonathan Birnie,Valeria Viganò,Ciara K Mcdonnell,Phil Hadley",2017,0.sdv,np,,en,
tel-00803494,1,https://tel.archives-ouvertes.fr/tel-00803494,THESE,,"Etude sur la pensée animale: continuité neuro-cognitive de la catégorisation visuelle,Neurocognitive continuity of visual categorization in primates",Maxime Cauchoix,2012-12-03,"0.sdv,1.sdv.neu",,,fr,
halshs-00608976,1,https://halshs.archives-ouvertes.fr/halshs-00608976,COMM,,L'ordre du monde animal selon Hildegarde de Bingen,Laurence Moulinier,1992-10-22,"0.shs,1.shs.hist",51-62,fr,fr,
hal-01211033,2,https://hal.archives-ouvertes.fr/hal-01211033v2,ART,,Stress en élevage et à l’abattage : impacts sur les qualités des viandes,"Claudia Terlouw,Isabelle Cassar-Malek,Brigitte Picard,C. Bourguet,Veronique Deiss,Cécile Arnould,Cecile Berri,Elisabeth Duval,Florence Lefèvre,Bénédicte Lebret",2015,0.sdv,169-182,,fr,
tel-00849129,1,https://tel.archives-ouvertes.fr/tel-00849129,THESE,2012GRENV068,"Développement d'un modèle animal chez le rat reproduisant un déficit motivationnel pouvant s'apparenter à un syndrome d'apathie de la maladie de Parkinson,Development of an animal model in rats reproduces a motivational deficit that seems like a syndrome of apathy in Parkinson's Disease",Guillaume Drui,2012-09-25,"0.sdv,1.sdv.sa",,,fr,
hal-00893473,1,https://hal.archives-ouvertes.fr/hal-00893473,ART,,Preliminary report of the working party on animal genetic resources in Europe,"K. Maijala,A.V. Cherekaev,J.M. Devillard,Z. Reklewski,G. Rognoni,D. Simon,D.E. Steane",1982,"0.sdv,1.sdv.gen,2.sdv.gen.ga",558-558,,fr,
hal-00892851,1,https://hal.archives-ouvertes.fr/hal-00892851,ART,,STRUCTURE AND CURRENT STATUS OF THE BLOCK SYSTEM FOR ANIMAL PRODUCTION STUDENTS AT HOHENHEIM UNIVERSITY,"W. Schlote,K. Riemenschneider",1977,"0.sdv,1.sdv.gen,2.sdv.gen.ga",133-133,,fr,
hal-00892987,1,https://hal.archives-ouvertes.fr/hal-00892987,ART,,STATISTICAL METHODS FOR CIRCULAR DISTRIBUTIONS USED ON RHYTHMIC PHENOMENA IN ANIMAL BREEDING WITH AN EXAMPLE FROM THE LAYING PATTERN OF THE JAPANESE QUAIL,M. Wilhelmson,1978,"0.sdv,1.sdv.gen,2.sdv.gen.ga",147-147,,fr,
